key,text
nav.home,Inicio
nav.about,Quiénes Somos
nav.opportunities,Oportunidades
nav.projections,Proyecciones
nav.contact,Contacto
home.hero.title,Infraestructura que se convierte en rentabilidad
home.hero.subtitle,Desarrollamos activos estratégicos en el norte de Chile que generan valor sostenible para inversionistas y comunidades.
home.cta,Explorar Oportunidades
home.metrics.managed,En Activos Gestionados
home.metrics.roi,ROI Promedio Anual
home.metrics.projects,Proyectos Activos
home.metrics.growth,Crecimiento Proyectado
home.features.strategic.title,Activos Estratégicos
home.features.strategic.description,Infraestructura clave ubicada en zonas de alto potencial de crecimiento.
home.features.profitable.title,Inversiones Rentables
home.features.profitable.description,Retornos atractivos con modelo de negocio probado y escalable.
home.features.innovative.title,Tecnología Innovadora
home.features.innovative.description,Integración de soluciones tecnológicas para maximizar eficiencia.
home.team.title,¿Quieres conocer más sobre nuestro equipo?
home.team.subtitle,Agenda una reunión para conocer en detalle nuestra experiencia y visión de negocio.
home.team.cta,Agendar Reunión
about.hero.title,Quiénes Somos
about.hero.subtitle,Somos un equipo de profesionales con más de 20 años de experiencia en desarrollo de infraestructura, inversiones y gestión de activos estratégicos.
about.mission.title,Nuestra Misión
about.mission.description,Transformar infraestructura estratégica en oportunidades de inversión rentables y sostenibles, conectando capital con activos de alto potencial en el norte de Chile para generar valor compartido entre inversionistas, comunidades y el desarrollo económico regional.
about.founders.title,Socios Fundadores
about.founders.subtitle,Líderes con experiencia comprobada en desarrollo de proyectos de infraestructura y gestión de inversiones en el sector minero y energético.
about.approach.title,Nuestro Enfoque
about.approach.subtitle,Metodología y estrategia de inversión en sectores innovadores y tecnológicos
about.approach.strategic.title,Identificación Estratégica
about.approach.strategic.description,Análisis de mercado para identificar activos con alto potencial de crecimiento en sectores clave como Mining, Oil&Gas, y energías renovables.
about.approach.innovation.title,Innovación Tecnológica
about.approach.innovation.description,Integración de tecnologías emergentes: IoT, data centers, desalinizadoras, y sistemas de conectividad avanzada para maximizar el valor de los activos.
about.approach.connectivity.title,Conectividad Inteligente
about.approach.connectivity.description,Desarrollo de infraestructura de piping, fibra óptica y logística inteligente que conecta sectores estratégicos del norte de Chile.
about.approach.scalability.title,Escalabilidad Sostenible
about.approach.scalability.description,Modelo de crecimiento basado en energías limpias, eficiencia operacional y tecnologías que impulsan la transformación digital del sector industrial.
about.values.title,Nuestros Valores
about.values.subtitle,Los principios que guían cada decisión y definen nuestra cultura corporativa
about.values.integrity.title,Integridad
about.values.integrity.description,Actuamos con transparencia y honestidad en todas nuestras relaciones comerciales.
about.values.excellence.title,Excelencia
about.values.excellence.description,Buscamos la excelencia operacional en cada proyecto que desarrollamos.
about.values.innovation.title,Innovación
about.values.innovation.description,Aplicamos soluciones innovadoras para maximizar el valor de los activos.
about.values.commitment.title,Compromiso
about.values.commitment.description,Mantenemos un compromiso inquebrantable con nuestros inversionistas y socios.
about.values.collaboration.title,Colaboración
about.values.collaboration.description,Trabajamos en equipo para alcanzar objetivos comunes y crear valor compartido.
about.values.sustainability.title,Sostenibilidad
about.values.sustainability.description,Desarrollamos proyectos que generan impacto positivo a largo plazo.
about.cta.title,¿Quieres conocer más sobre nuestro equipo?
about.cta.subtitle,Agenda una reunión para conocer en detalle nuestra experiencia y visión de negocio.
about.cta.button,Agendar Reunión
opportunities.hero.title,Negocios & Oportunidades
opportunities.hero.subtitle,Descubre las oportunidades de inversión en infraestructura estratégica del norte de Chile
opportunities.overview.title,Visión general del negocio
opportunities.overview.description,Invenor es una plataforma de desarrollo de terrenos estratégicos de alto valor en el norte de Chile.
opportunities.overview.quote,Terrenos que antes estaban en desuso ahora se transforman en polos logísticos, industriales, tecnológicos y energéticos.
opportunities.overview.point1,Red estratégica de terrenos en el norte de Chile
opportunities.overview.point2,Valorización a través de desarrollo inmobiliario
opportunities.overview.point3,Desarrollo de centros logísticos, industriales y de innovación
opportunities.model.title,Nuestro Modelo de Negocio
opportunities.model.description,Una estructura transparente con beneficios para todos los participantes
opportunities.model.invenor.title,Invenor
opportunities.model.invenor.description,Gestiona el desarrollo y administración de terrenos estratégicos
opportunities.model.invenor.percentage,85% de la utilidad
opportunities.model.investor.title,Inversor Estratégico
opportunities.model.investor.description,Financia el desarrollo inicial y participa en las decisiones estratégicas
opportunities.model.investor.percentage,15% de la utilidad
opportunities.portfolio.title,Portafolio de Oportunidades
opportunities.portfolio.subtitle,Proyectos seleccionados con alto potencial de retorno
opportunities.cta.title,¿Listo para explorar estas oportunidades?
opportunities.cta.subtitle,Agenda una reunión personalizada para revisar en detalle los proyectos disponibles.
opportunities.cta.button,Ver Terrenos
projections.title,Proyecciones Financieras
projections.subtitle,Análisis detallado de retornos y proyecciones de inversión
projections.calculator.title,Calculadora de Inversión
